,hfi
ABW,0.06470275305966948
AFG,0.04093358336265485
AGO,0.03125515170438497
AIA,0.0518441609513991
ALB,0.028662737688478972
AND,0.051446067435203205
ANS,0.0605043459518752
ANT,0.07168949988660271
ARE,0.029764127360233324
ARG,0.022365902288026568
ARM,0.04350243284828945
ASM,0.13020208170169706
ATA,0.20710760093077527
ATF,0.08877539196178313
ATG,0.049654547712304174
AUS,0.03957958514528324
AUT,0.024018632395404218
AZE,0.031150227904063233
BDI,0.01861524568076576
BEL,0.024232586074417008
BEN,0.020992542280763672
BFA,0.027226108876485647
BGD,0.03971876037356268
BGR,0.02259744203379738
BHR,0.03924004142525374
BHS,0.04819151601368399
BIH,0.1006766433751714
BLR,0.02188497077421849
BLZ,0.043950077110798624
BMU,0.1139901062369673
BOL,0.04411454662412392
BRA,0.024020359421659976
BRB,0.030247520592068148
BRN,0.0873835610314794
BTN,0.046611840414776076
BVT,0.06826126662130083
BWA,0.05351365657257049
CAF,0.026186838455659098
CAN,0.029129491558977375
CCK,0.2719512790095599
CHE,0.028599191186969575
CHL,0.039088857530916656
CHN,0.028612277892784314
CIV,0.027430800450831145
CMR,0.01942041321492209
COD,0.022663658039195532
COG,0.02403921426537302
COK,0.0648572166516138
COL,0.03525140508121493
COM,0.045959942523759394
CPV,0.03709821760019067
CRI,0.03849959573368128
CUB,0.03891217680344257
CXR,0.06534998692878327
CYM,0.07393794667143154
CYP,0.03522708782780446
CZE,0.037119140713048206
DEU,0.03134327546660363
DJI,0.03241855549225401
DMA,0.02458747894316652
DNK,0.029270713102465075
DOM,0.03638791049708793
DZA,0.0274000400046012
ECU,0.03649756326495484
EGY,0.029560835481163537
ERI,0.03475341814105691
ESH,0.07631275229510724
ESP,0.018448808182893798
EST,0.02210729736046936
ETH,0.0160601613996464
FIN,0.0326852471952656
FJI,0.06413782763913985
FLK,0.4022971051368497
FRA,0.02012917082327352
FRO,0.08961811558572993
FSM,0.1785496182993119
GAB,0.03997679880825218
GBR,0.027592379222290398
GEO,0.03624861017418233
GHA,0.024562652535835186
GIB,0.06659943916514315
GIN,0.027192592682181636
GMB,0.047481139226165356
GNB,0.055051058338585146
GNQ,0.06612261139629436
GRC,0.034419910524610964
GRD,0.03361401232300384
GRL,0.18447318741942006
GTM,0.037775704093326916
GUM,0.4580033319547376
GUY,0.02543579797110464
HKG,0.0548048539228903
HMD,0.028763049188636338
HND,0.04223898431784986
HRV,0.01887160276916669
HTI,0.02819662207210126
HUN,0.02656423321006778
IDN,0.019667569889371347
IND,0.03161992619317599
IOT,0.04763334153997926
IRL,0.043901302439503485
IRN,0.03390102613247185
IRQ,0.04752364382814585
ISL,0.042562654354777116
ISR,0.04752824485181936
ITA,0.022402666484121574
JAM,0.041859442051529985
JOR,0.028275763747004093
JPN,0.03409675534728955
KAZ,0.026189541300013122
KEN,0.0337569066121302
KGZ,0.052547636488786416
KHM,0.11170375504865011
KIR,0.11055887545581199
KNA,0.03776265169419753
KOR,0.021965324382918445
KWT,0.03346101567499773
LAO,0.05754145423008903
LBN,0.031678389794593975
LBR,0.09536478214115247
LBY,0.040633788132364956
LCA,0.05316446788276815
LKA,0.0499729809157911
LSO,0.10338696803142101
LTU,0.031119494085023774
LUX,0.07797046272635998
LVA,0.03167741722321186
MAC,0.08646482747792887
MAR,0.027893074310466393
MDA,0.030052369367767527
MDG,0.03713699031976017
MDV,0.046957139650732664
MEX,0.031284183422552604
